기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 공학전문대학원 ,50.0,52,44,8,0,0,41,33,8,0,0,82.0
2023.0,전문대학원,국립대법인,강원,기존,서울대학교 국제농업기술대학원 ,34.0,35,16,12,1,6,29,14,11,1,3,73.5
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 국제대학원 ,80.0,337,33,60,50,194,130,22,42,17,49,80.0
2023.0,일반대학원,국립대법인,서울,기존,서울대학교 대학원 ,4313.0,7160,2781,3049,435,895,4221,1950,1860,145,266,88.3
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 데이터사이언스대학원 ,110.0,330,192,109,11,18,100,56,37,3,4,84.5
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 법학전문대학원 ,173.0,455,247,208,0,0,174,93,81,0,0,100.6
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 보건대학원 ,96.0,231,48,170,1,12,98,22,72,0,4,97.9
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 융합과학기술대학원 ,130.0,184,85,61,21,17,108,53,33,15,7,66.2
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 치의학대학원 ,90.0,499,294,203,1,1,97,52,44,1,0,106.7
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 행정대학원 ,149.0,397,105,142,76,74,276,64,82,69,61,98.0
2023.0,전문대학원,국립대법인,서울,기존,서울대학교 환경대학원 ,88.0,176,58,108,4,6,90,34,53,1,2,98.9
2023.0,특수대학원,사립,서울,폐교,서울사이버대학교 상담심리대학원 ,98.0,376,72,269,23,12,106,20,77,7,2,99.0
2023.0,특수대학원,사립,서울,폐교,서울사이버대학교 휴먼서비스대학원 ,58.0,275,107,145,17,6,64,26,31,4,3,98.3
2023.0,특수대학원,공립,서울,기존,서울시립대학교 경영대학원 ,104.0,189,110,54,18,7,137,74,38,18,7,107.7
2023.0,특수대학원,공립,서울,기존,서울시립대학교 과학기술대학원 ,69.0,122,91,31,0,0,59,44,15,0,0,85.5
2023.0,특수대학원,공립,서울,기존,서울시립대학교 교육대학원 ,49.0,102,31,71,0,0,45,14,31,0,0,91.8
2023.0,특수대학원,공립,서울,폐교,서울시립대학교 국제도시과학대학원 ,30.0,370,19,17,213,121,107,14,11,51,31,83.3
2023.0,일반대학원,공립,서울,기존,서울시립대학교 대학원 ,712.0,1097,470,416,83,128,568,270,226,28,44,69.7
2023.0,특수대학원,공립,서울,기존,서울시립대학교 도시과학대학원 ,210.0,405,227,158,13,7,229,123,86,13,7,99.5
2023.0,특수대학원,공립,서울,기존,서울시립대학교 도시보건대학원 ,20.0,62,19,43,0,0,21,6,15,0,0,105.0
2023.0,전문대학원,공립,서울,기존,서울시립대학교 디자인전문대학원 ,20.0,35,12,22,0,1,17,7,9,0,1,80.0
2023.0,전문대학원,공립,서울,기존,서울시립대학교 법학전문대학원 ,50.0,228,116,112,0,0,55,33,22,0,0,110.0
2023.0,전문대학원,공립,서울,기존,서울시립대학교 세무전문대학원 ,52.0,155,86,69,0,0,52,30,22,0,0,100.0
2023.0,특수대학원,사립,경기,기존,서울신학대학교 교회성장대학원 ,20.0,22,20,2,0,0,18,16,2,0,0,90.0
