기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,
,,,,,,,,남,여,남,여,,남,여,남,여
2024.0,특수대학원,사립,서울,기존,상명대학교 문화기술대학원 ,80.0,62,33,28,1,0,39,21,18,0,0
2024.0,특수대학원,사립,서울,기존,상명대학교 통합심리치료대학원 ,45.0,86,10,76,0,0,52,6,46,0,0
2024.0,특수대학원,사립,강원,기존,상지대학교 교육대학원 ,10.0,54,12,42,0,0,10,3,7,0,0
2024.0,일반대학원,사립,강원,기존,상지대학교 대학원 ,82.0,87,53,25,5,4,68,42,21,3,2
2024.0,특수대학원,사립,강원,기존,상지대학교 사회복지정책대학원 ,20.0,18,6,12,0,0,12,4,8,0,0
2024.0,특수대학원,사립,강원,기존,상지대학교 사회융합대학원 ,51.0,54,33,21,0,0,47,30,17,0,0
2024.0,특수대학원,사립,강원,기존,상지대학교 평화안보.상담심리대학원 ,55.0,67,21,25,21,0,49,16,23,10,0
2024.0,전문대학원,사립,서울,기존,서강대학교 경영전문대학원 ,204.0,973,232,112,296,333,405,97,44,133,131
2024.0,특수대학원,사립,서울,기존,서강대학교 경제대학원 ,140.0,314,173,137,4,0,142,77,65,0,0
2024.0,특수대학원,사립,서울,기존,서강대학교 공공정책대학원 ,80.0,90,33,57,0,0,47,19,26,1,1
2024.0,특수대학원,사립,서울,기존,서강대학교 교육대학원 ,140.0,512,113,399,0,0,117,36,81,0,0
2024.0,전문대학원,사립,서울,기존,서강대학교 국제대학원 ,45.0,130,5,9,31,85,53,0,1,11,41
2024.0,전문대학원,사립,서울,기존,서강대학교 기술경영전문대학원 ,50.0,120,63,50,5,2,51,24,20,5,2
2024.0,일반대학원,사립,서울,기존,서강대학교 대학원 ,799.0,2295,976,1143,50,126,878,439,366,22,51
2024.0,전문대학원,사립,서울,기존,서강대학교 메타버스전문대학원 ,60.0,90,59,31,0,0,53,34,19,0,0
2024.0,특수대학원,사립,서울,기존,서강대학교 미디어커뮤니케이션대학원 ,84.0,161,50,110,0,1,81,24,57,0,0
2024.0,전문대학원,사립,서울,기존,서강대학교 법학전문대학원 ,40.0,450,279,171,0,0,44,24,20,0,0
2024.0,전문대학원,사립,서울,기존,서강대학교 신학대학원 ,52.0,47,14,33,0,0,36,11,25,0,0
2024.0,특수대학원,사립,서울,폐교,서강대학교 정보통신대학원 ,140.0,382,256,126,0,0,142,90,52,0,0
2024.0,특수대학원,사립,서울,기존,서경대학교 경영문화대학원 ,15.0,28,16,12,0,0,20,11,9,0,0
2024.0,특수대학원,사립,서울,신설,서경대학교 국제융합대학원 ,0.0,69,0,0,28,41,25,0,0,12,13
2024.0,특수대학원,사립,서울,기존,서경대학교 미용예술대학원 ,35.0,42,7,35,0,0,25,6,19,0,0
2024.0,특수대학원,사립,서울,기존,서경대학교 실용음악대학원 ,10.0,14,9,5,0,0,12,8,4,0,0
2024.0,특수대학원,사립,서울,신설,서경대학교 융합대학원 ,25.0,26,8,18,0,0,17,5,12,0,0
2024.0,일반대학원,사립,서울,기존,서경대학교 일반대학원 ,113.0,376,48,99,56,173,242,37,71,26,108
2024.0,전문대학원,국립,서울,기존,서울과학기술대학교 IT정책전문대학원 ,47.0,88,44,38,2,4,51,22,24,2,3
2024.0,특수대학원,국립,서울,기존,서울과학기술대학교 산업대학원 ,40.0,143,116,27,0,0,38,30,8,0,0
2024.0,전문대학원,국립,서울,폐교,서울과학기술대학교 융합과학대학원 ,30.0,146,64,13,57,12,81,19,7,46,9
2024.0,일반대학원,국립,서울,기존,서울과학기술대학교 일반대학원 ,615.0,1157,583,425,69,80,593,341,175,33,44
2024.0,특수대학원,국립,서울,기존,서울과학기술대학교 주택도시대학원 ,38.0,62,45,17,0,0,31,21,10,0,0
2024.0,전문대학원,국립,서울,기존,서울과학기술대학교 철도전문대학원 ,66.0,69,52,7,8,2,53,37,6,8,2
2024.0,전문대학원,국립,서울,기존,서울교육대학교 교육전문대학원 ,510.0,533,92,383,16,42,384,63,266,14,41
2024.0,일반대학원,사립,서울,기존,서울기독대학교 대학원 ,44.0,45,13,25,1,6,41,11,23,1,6
2024.0,특수대학원,사립,서울,기존,서울기독대학교 문화산업경영대학원 ,28.0,27,13,14,0,0,27,14,13,0,0
2024.0,특수대학원,사립,서울,기존,서울기독대학교 사회복지대학원 ,10.0,4,1,3,0,0,4,1,3,0,0
2024.0,특수대학원,사립,서울,기존,서울기독대학교 연합신학대학원 ,12.0,6,3,3,0,0,5,2,3,0,0
2024.0,특수대학원,사립,서울,기존,서울기독대학교 운동재활복지대학원 ,4.0,0,0,0,0,0,0,0,0,0,0
2024.0,특수대학원,사립,서울,기존,서울기독대학교 치유상담대학원 ,10.0,12,3,9,0,0,11,3,8,0,0
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 경영전문대학원 ,100.0,374,62,44,186,82,206,45,29,89,43
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 공학전문대학원 ,50.0,58,48,10,0,0,43,35,8,0,0
2024.0,전문대학원,국립대법인,강원,기존,서울대학교 국제농업기술대학원 ,34.0,50,18,22,6,4,38,14,18,4,2
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 국제대학원 ,77.0,349,36,97,64,152,149,16,59,27,47
2024.0,일반대학원,국립대법인,서울,기존,서울대학교 대학원 ,4312.0,7556,3059,3184,446,867,4317,2069,1830,162,256
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 데이터사이언스대학원 ,105.0,493,269,202,5,17,101,58,41,0,2
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 법학전문대학원 ,173.0,402,210,192,0,0,174,84,90,0,0
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 보건대학원 ,94.0,245,59,177,3,6,97,23,70,2,2
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 융합과학기술대학원 ,128.0,236,126,82,19,9,140,60,58,17,5
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 치의학대학원 ,90.0,543,319,221,1,2,98,64,33,1,0
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 행정대학원 ,128.0,436,121,151,100,64,245,63,61,75,46
2024.0,전문대학원,국립대법인,서울,기존,서울대학교 환경대학원 ,84.0,190,57,119,4,10,96,28,60,2,6
2024.0,특수대학원,사립,서울,폐교,서울사이버대학교 상담심리대학원 ,98.0,371,98,243,19,11,109,27,71,8,3
2024.0,특수대학원,사립,서울,폐교,서울사이버대학교 휴먼서비스대학원 ,58.0,268,103,143,11,11,65,23,36,3,3
2024.0,특수대학원,공립,서울,기존,서울시립대학교 경영대학원 ,104.0,200,108,63,19,10,133,69,35,19,10
2024.0,특수대학원,공립,서울,기존,서울시립대학교 과학기술대학원 ,69.0,175,126,49,0,0,62,38,24,0,0
2024.0,특수대학원,공립,서울,기존,서울시립대학교 교육대학원 ,49.0,87,27,60,0,0,54,17,37,0,0
2024.0,특수대학원,공립,서울,폐교,서울시립대학교 국제도시과학대학원 ,30.0,275,27,20,157,71,113,20,17,46,30
2024.0,일반대학원,공립,서울,기존,서울시립대학교 대학원 ,712.0,1158,556,398,84,120,637,339,231,25,42
2024.0,특수대학원,공립,서울,기존,서울시립대학교 도시과학대학원 ,210.0,358,213,131,6,8,221,129,79,6,7
2024.0,특수대학원,공립,서울,기존,서울시립대학교 도시보건대학원 ,20.0,33,6,27,0,0,20,4,16,0,0
2024.0,전문대학원,공립,서울,기존,서울시립대학교 디자인전문대학원 ,20.0,37,12,24,0,1,18,5,13,0,0
2024.0,전문대학원,공립,서울,기존,서울시립대학교 법학전문대학원 ,50.0,205,107,98,0,0,55,35,20,0,0
2024.0,전문대학원,공립,서울,기존,서울시립대학교 세무전문대학원 ,52.0,148,86,62,0,0,52,35,17,0,0
2024.0,특수대학원,사립,경기,기존,서울신학대학교 교회성장대학원 ,20.0,13,13,0,0,0,11,11,0,0,0
2024.0,특수대학원,사립,경기,폐교,서울신학대학교 글로벌리더십경영융합대학원 ,27.0,12,6,3,2,1,8,3,2,2,1
2024.0,일반대학원,사립,경기,기존,서울신학대학교 대학원 ,48.0,57,31,24,0,2,45,24,20,0,1
2024.0,특수대학원,사립,경기,기존,서울신학대학교 상담대학원 ,38.0,52,8,44,0,0,32,5,27,0,0
2024.0,특수대학원,사립,경기,기존,서울신학대학교 설교대학원 ,20.0,18,15,3,0,0,15,12,3,0,0
2024.0,특수대학원,사립,경기,기존,서울신학대학교 신학대학원 ,135.0,162,102,58,2,0,142,90,51,1,0
2024.0,전문대학원,사립,경기,기존,서울신학대학교 신학전문대학원 ,46.0,48,36,11,0,1,34,26,7,0,1
2024.0,특수대학원,사립,서울,기존,서울여자대학교 교육대학원 ,26.0,18,2,16,0,0,9,2,7,0,0
2024.0,일반대학원,사립,서울,기존,서울여자대학교 대학원 ,150.0,203,6,194,0,3,104,4,100,0,0
2024.0,특수대학원,사립,서울,기존,서울여자대학교 휴먼서비스대학원 ,89.0,25,1,24,0,0,14,1,13,0,0
2024.0,특수대학원,사립,경기,폐교,서울장신대학교 교회음악대학원 ,6.0,5,2,3,0,0,4,2,2,0,0
2024.0,특수대학원,사립,경기,기존,서울장신대학교 사회복지상담대학원 ,3.0,3,1,2,0,0,2,1,1,0,0
2024.0,특수대학원,사립,경기,기존,서울장신대학교 신학대학원 ,57.0,54,29,25,0,0,41,22,19,0,0
2024.0,특수대학원,사립,경기,폐교,서울장신대학교 영성심리치유대학원 ,12.0,7,1,6,0,0,5,1,4,0,0
2024.0,특수대학원,사립,경기,기존,서울장신대학교 예배찬양사역대학원 ,21.0,16,10,6,0,0,14,8,6,0,0
2024.0,일반대학원,사립,경기,기존,서울장신대학교 일반대학원 ,22.0,39,21,17,1,0,24,12,11,1,0
2024.0,특수대학원,사립,경기,기존,서울장신대학교 자연치유선교대학원 ,10.0,8,1,7,0,0,7,1,6,0,0
2024.0,특수대학원,사립,서울,기존,서울한영대학교 국제신학선교대학원 ,25.0,49,7,9,31,2,32,5,9,18,0
2024.0,특수대학원,사립,서울,기존,서울한영대학교 상담복지대학원 ,31.0,250,7,22,189,32,104,5,15,69,15
2024.0,일반대학원,사립,서울,기존,서울한영대학교 일반대학원 ,26.0,34,6,21,3,4,30,6,17,3,4
