읍면동,연령5세구간,인구수
천안시동남구,60-64,22072
천안시동남구,65-69,18060
천안시동남구,70-74,11584
천안시동남구,75-79,7977
천안시동남구,80-84,5832
천안시동남구,85+,5389
천안시서북구,0-4,12310
천안시서북구,5-9,17782
천안시서북구,10-14,22104
천안시서북구,15-19,20661
천안시서북구,20-24,23357
천안시서북구,25-29,30594
천안시서북구,30-34,33163
천안시서북구,35-39,32126
천안시서북구,40-44,36512
천안시서북구,45-49,33553
천안시서북구,50-54,34230
천안시서북구,55-59,30793
천안시서북구,60-64,26168
천안시서북구,65-69,19135
천안시서북구,70-74,11133
천안시서북구,75-79,7598
천안시서북구,80-84,5433
천안시서북구,85+,4888
청룡동,0-4,2030
청룡동,5-9,2838
청룡동,10-14,3560
청룡동,15-19,3505
청룡동,20-24,3018
청룡동,25-29,3407
청룡동,30-34,4089
청룡동,35-39,4004
청룡동,40-44,5119
청룡동,45-49,5011
청룡동,50-54,5214
청룡동,55-59,4483
청룡동,60-64,4002
청룡동,65-69,3041
청룡동,70-74,1885
청룡동,75-79,1134
청룡동,80-84,843
청룡동,85+,690
풍세면,0-4,413
풍세면,5-9,369
풍세면,10-14,306
풍세면,15-19,258
풍세면,20-24,417
풍세면,25-29,792
풍세면,30-34,1001
풍세면,35-39,802
풍세면,40-44,773
풍세면,45-49,729
풍세면,50-54,804
풍세면,55-59,837
풍세면,60-64,901
풍세면,65-69,807
풍세면,70-74,476
풍세면,75-79,294
풍세면,80-84,243
풍세면,85+,247
